flat_id	rooms	studio	total_area	living_area	kitchen_area	refit	prepayment	view_from_windows	balconies	floor	floors	deposit	utility_bills	ceiling_height	gaz	garbage_chute	building_year	walls	ceiling_type	rent	можно с детьми	микроволновая печь	интернет	парк	закрытая территория	кондиционер	стиральная машина	холодильник	посудомоечная машина	мебель в комнатах	можно с животными	плита	мебель на кухне	телевизор	фитнес
2061736392	2	0	57.0	28.0	16.0	design	1	street	1	9	12	120000	no	2.7	1	0	2021	mono	ferroc	120000	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0
2061966099	1	0	38.0			euro	1	both		5	22				0	0	2024	mono	ferroc	44000	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
2061380150	2	0	60.0	33.0	15.0	design		both	1	11	12	85000	yes		0	1	2022	mixed	ferroc	80000	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2061379876	6	0	300.0		30.0	design			1	10	14	450000	no		0	0	2006	mono	ferroc	450000	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0
2060751944	1	0	36.0	17.0	11.0	cosm	1		1	7	17	42000	no		1	0	2019	mono	ferroc	42000	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0
2060615649	0	1	30.0	26.0		design		yard		8	19	44940	no		1	0	2022	brick	ferroc	42000	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0
2061943606	1	0	51.4	30.0	10.0	euro	55000		1	13	25	55000	no		0	1	2010	mono	ferroc	55000	1	0	1	0	0	0	1	1	0	1	1	0	1	1	0
2061055843	1	0	44.0	20.0	10.0	euro	1	yard	1	5	5	45000	no		0	0	1997	brick		45000	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0
2061381504	0	1	24.0	12.0	6.0	design		yard	1	8	18	50000	no		0	0	2019	mono	ferroc	47000	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0
2061614524	2	0	77.0	45.0	20.0	euro		street	1	7	20	100000	no		1	1	2005	mono	ferroc	100000	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0
2060392624	2	0	45.0	28.0	6.3	cosm	1	street	1	3	9	35000	no	2.5	1	1	1975	panel	ferroc	35000	0	0	0	1	0	0	1	1	0	1	0	1	1	1	1
2061780898	1	0	34.0	16.0	11.0	design			1	3	12	75000	no		0	0		brick		75000	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0
2061380135	2	0	64.0	43.0	14.0	euro		street		7	15	140000	no		0	0	2018	mono	ferroc	140000	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2061266216	3	0	65.0	45.0	15.0	design			1	6	14	100000	no		0	0	2023	mono	ferroc	105000	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0
2057221234	1	0	51.0	19.0	23.0	euro			1	17	20	65000	no		0	0	2022	mixed	ferroc	65000	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0
2062087670	1	0	38.2	16.3	10.0	euro		yard	1	6	16	45000	no		1	1	2017	mono	mixed	45000	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0
2062018566	3	0	92.0	63.0	16.0	euro		both		4	14	89000	no		1	1	2001	brick	ferroc	89000	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0
2061837380	2	0	70.0	34.0	13.0	cosm		yard	1	11	23	55000	no		1	1	2012	mono	ferroc	55000	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0
2061964440	1	0	33.5	17.0	9.0	cosm	1	yard	1	4	10	38000	by_counters		1	1	1987	panel	ferroc	38000	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1
2061546376	1	0	35.0		12.0	euro			1	1	18	55000			0	0	2023	mixed	ferroc	55000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061671666	0	1	24.0	21.0						16	18	42000	no	2.5	0	0	2019	mono	ferroc	42000	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0
2061378720	0	1	20.0	15.0	4.0	euro				1	4	43000			1	0	1878	brick	mixed	43000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2061932952	3	0	63.0	44.0	6.0	euro		both	1	2	9	40000	no		1	0	1978	panel		40000	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0
2062083379	2	0	107.0		40.0	design				2	6	270000	no		1	0	1902	brick	ferroc	270000	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0
2060319415	2	0	50.0	32.0	7.0	cosm	1			2	9	49000	no		1	1		brick		49000	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1
2061763846	2	0	60.1	27.7	16.3				1	12	12	59000	no		1	0	2021	mono	ferroc	59000	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
2061328266	1	0	37.0	16.0	9.0	euro		yard	2	5		40000	no	2.7	1	0				40000	1	0	1	0	0	0	1	1	0	1	1	0	0	1	0
2061617519	2	0	66.0	20.0	28.0	euro				5	11	90000	no		0	0	2021	brick	ferroc	90000	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2062012306	2	0	52.0			cosm	1	street		11	12				1	0	1970	brick	ferroc	60000	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
2061022962	1	0	34.0	10.0	17.4	euro		yard	1	9	12	37000	no		1	0	2020	mono	ferroc	37000	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0
2061380901	2	0	75.0	24.0	13.0	design				2	15	190000	no		0	0	2016	mono	ferroc	190000	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2061827493	1	0	34.7	10.3	16.8			street		4	13	62000		2.75	0	0	2022	mixed	ferroc	62000	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
